problem_id,athlete,attempt,seq,limb,hold
WCF2025_W1,ERIN MCNEICE,1,1,LH,H2-1
WCF2025_W1,ERIN MCNEICE,1,1,RH,H4-2
WCF2025_W1,ERIN MCNEICE,1,1,LL,H1-2
WCF2025_W1,ERIN MCNEICE,1,1,RL,H1-2
WCF2025_W1,ERIN MCNEICE,1,2,RL,H4-4
WCF2025_W1,ERIN MCNEICE,1,2,RH,H6-0
WCF2025_W1,ERIN MCNEICE,1,2,LH,H5-3
WCF2025_W1,ERIN MCNEICE,1,2,RL,H2-3
WCF2025_W1,ERIN MCNEICE,1,3,RH,H7-2
WCF2025_W1,ERIN MCNEICE,1,3,LH,H7-2
WCF2025_W1,ERIN MCNEICE,1,3,RL,H5-2
WCF2025_W1,ERIN MCNEICE,1,4,RH,H10-4
WCF2025_W1,ERIN MCNEICE,1,4,LL,H5-2
WCF2025_W1,ERIN MCNEICE,1,4,RL,H9-3
WCF2025_W1,ERIN MCNEICE,1,4,LL,H7-2
WCF2025_W1,ERIN MCNEICE,1,4,LH,H10-4
WCF2025_W1,ERIN MCNEICE,1,4,RH,H11-0
WCF2025_W1,ERIN MCNEICE,1,4,RL,H9-1
WCF2025_W1,ERIN MCNEICE,1,5,LL,H9-1
WCF2025_W1,ERIN MCNEICE,1,5,LL,H10-4
WCF2025_W1,ERIN MCNEICE,1,5,LH,H12-2
WCF2025_W1,ERIN MCNEICE,1,5,RH,H12-2
WCF2025_W1,ERIN MCNEICE,1,5,RL,H9-2
WCF2025_W1,ERIN MCNEICE,1,5,LL,H9-2
WCF2025_W1,AGATHE CALLIET,1,1,LH,H2-1
WCF2025_W1,AGATHE CALLIET,1,1,RH,H4-2
WCF2025_W1,AGATHE CALLIET,1,1,LL,H1-2
WCF2025_W1,AGATHE CALLIET,1,1,RL,H1-2
WCF2025_W1,AGATHE CALLIET,1,2,RL,H4-2
WCF2025_W1,AGATHE CALLIET,1,2,RH,H6-0
WCF2025_W1,AGATHE CALLIET,1,2,LL,H2-3
WCF2025_W1,AGATHE CALLIET,1,2,LH,H5-3
WCF2025_W1,AGATHE CALLIET,1,2,RL,H2-3
WCF2025_W1,AGATHE CALLIET,2,1,LH,H2-1
WCF2025_W1,AGATHE CALLIET,2,1,RH,H4-2
